Bench;SpeedUp
;ip_stride_no;ipcp_isca2020_ipcp_isca2020;ipcp_isca2020_no;mlop_dpc3_bingo_dpc3;mlop_dpc3_no;mlop_dpc3_ppf;no_no;vberti_bingo_dpc3;vberti_no;vberti_ppf;
602.gcc_s-1850B.champsimtrace.xz;1.0;1.0691642509824328;1.0611378793196975;1.0643435188889734;1.0652983380256107;1.0700478882297064;0.620210256573893;1.0690758872577055;1.0642944279307915;1.071854435490799;
602.gcc_s-734B.champsimtrace.xz;1.0;1.0185378741689168;1.017962043569569;1.0165345643526986;1.0151409575240251;1.016870868778368;0.8563472016568436;1.0167692516137772;1.0127166623116453;1.0179039766183742;
603.bwaves_s-891B.champsimtrace.xz;1.0;1.0128034258183616;1.012714160140147;1.0098824544590066;1.0073135866081646;1.0125579452032716;0.45376471798864587;1.0168922898010244;1.0031478549581505;1.0125852208271706;
605.mcf_s-472B.champsimtrace.xz;1.0;1.1475237785151677;1.136921297098086;1.5904449509189278;1.3238727286582197;1.5329296931826841;0.8393556074345527;1.8387182808808962;1.5809335448518562;1.7240237473415863;
607.cactuBSSN_s-2421B.champsimtrace.xz;1.0;1.0479062313803669;1.0286360449177254;1.0882329185166804;1.0843957376623166;1.087752978263389;1.0;1.0241445064985082;1.001204532977163;1.077582927237546;
619.lbm_s-2676B.champsimtrace.xz;1.0;1.1676559122934174;1.1245796522295572;1.157073487128924;1.10133401241944;1.1628000113181018;0.9761427473821448;1.172076501661802;1.1303497075794282;1.1648220337322963;
620.omnetpp_s-141B.champsimtrace.xz;1.0;0.998258211128398;0.9978046202764184;1.0277597601411574;1.0059329683438945;1.0067630396030174;0.999823099567728;1.0384463606137992;1.0002222595174701;1.0172001651070701;
621.wrf_s-6673B.champsimtrace.xz;1.0;1.074785776687299;1.0655489259403832;1.06038526118825;1.0491607650699828;1.0733446098750288;0.6686976833522309;1.0702788775503882;1.066545226986871;1.0796892135541554;
623.xalancbmk_s-10B.champsimtrace.xz;1.0;1.082865617917611;1.0832755632582323;1.183358885481936;1.087265031329156;1.1627716304492737;0.98616517797627;1.1668844154112785;0.9990167977602986;1.1553959472070392;
627.cam4_s-490B.champsimtrace.xz;1.0;1.0096830040159988;1.0094980477595132;1.003288413442512;0.9991948962952989;1.0041411161838083;0.9004676945338627;1.0080211176525786;1.0053297321262218;1.0100760360610301;
628.pop2_s-17B.champsimtrace.xz;1.0;1.0186840242290696;1.0156952568721112;1.0150791407233446;1.0136524090141417;1.0158885482129008;0.956322197335962;1.0166158068826214;1.0055909520323376;1.0178999862279918;
649.fotonik3d_s-1176B.champsimtrace.xz;1.0;1.001896561382169;1.0002140633627552;1.0004761409377176;0.9993358033978057;1.0020566087561917;0.570902987284236;1.0038671446748237;1.0035970647311605;1.0041972423837455;
