Bench;SpeedUp
;ip_stride_no;ipcp_isca2020_ipcp_isca2020;ipcp_isca2020_no;mlop_dpc3_bingo_dpc3;mlop_dpc3_no;mlop_dpc3_ppf;no_no;vberti_bingo_dpc3;vberti_no;vberti_ppf;
602.gcc_s-1850B.champsimtrace.xz;1.0;1.0691642509824328;1.0611378793196975;1.0643435188889734;1.0652983380256107;1.0700478882297064;0.620210256573893;1.066304702668339;1.0590662408844227;1.0683346137891592;
602.gcc_s-734B.champsimtrace.xz;1.0;1.0185378741689168;1.017962043569569;1.0165345643526986;1.0151409575240251;1.016870868778368;0.8563472016568436;1.0185209379748181;1.0169216773606635;1.0187653030610961;
603.bwaves_s-891B.champsimtrace.xz;1.0;1.0128034258183616;1.012714160140147;1.0098824544590066;1.0073135866081646;1.0125579452032716;0.45376471798864587;1.012745155167305;0.9959718862705668;1.0147982657662404;
605.mcf_s-472B.champsimtrace.xz;1.0;1.1475237785151677;1.136921297098086;1.5904449509189278;1.3238727286582197;1.5329296931826841;0.8393556074345527;1.7275844630870156;1.6726531488780974;1.7412038544401571;
607.cactuBSSN_s-2421B.champsimtrace.xz;1.0;1.0479062313803669;1.0286360449177254;1.0882329185166804;1.0843957376623166;1.087752978263389;1.0;1.063801618452181;1.0601763136608555;1.0788015072465127;
619.lbm_s-2676B.champsimtrace.xz;1.0;1.1676559122934174;1.1245796522295572;1.157073487128924;1.10133401241944;1.1628000113181018;0.9761427473821448;1.1717151930280494;1.1115137743475223;1.1608585215511893;
620.omnetpp_s-141B.champsimtrace.xz;1.0;0.998258211128398;0.9978046202764184;1.0277597601411574;1.0059329683438945;1.0067630396030174;0.999823099567728;0.8704317731319996;0.8463551707089172;0.8355959956999587;
621.wrf_s-6673B.champsimtrace.xz;1.0;1.074785776687299;1.0655489259403832;1.06038526118825;1.0491607650699828;1.0733446098750288;0.6686976833522309;1.075270296226076;1.0735589880852805;1.0794711178026855;
623.xalancbmk_s-10B.champsimtrace.xz;1.0;1.082865617917611;1.0832755632582323;1.183358885481936;1.087265031329156;1.1627716304492737;0.98616517797627;1.0542461005199306;0.8964371417144382;0.9517497666977738;
627.cam4_s-490B.champsimtrace.xz;1.0;1.0096830040159988;1.0094980477595132;1.003288413442512;0.9991948962952989;1.0041411161838083;0.9004676945338627;1.005573167199096;1.0056044465660015;1.008940459045109;
628.pop2_s-17B.champsimtrace.xz;1.0;1.0186840242290696;1.0156952568721112;1.0150791407233446;1.0136524090141417;1.0158885482129008;0.956322197335962;1.0183965033596452;1.014755377727522;1.017860119888954;
649.fotonik3d_s-1176B.champsimtrace.xz;1.0;1.001896561382169;1.0002140633627552;1.0004761409377176;0.9993358033978057;1.0020566087561917;0.570902987284236;1.0025567568000127;0.9976933172218977;1.0035270440050255;
